tipo	fabricante	modelo	portas/capacidade	autonomia	ano	placa	renavam	chassi	reservado
van	Mercedes-Benz	Sprinter	9	13.76	2017	PGD-0400	52402183482	9BM01R1XDZRAXE62G	False
carro	Renault	Logan	2	7.98	2017	PYK-7211	44058250699	93YX3GO9EEN6UD9SO	False
carro	Renault	Logan	4	10.99	2017	PID-1065	96033127199	93YOMZXV4KYJ8NF3G	False
carro	Fiat	Uno	4	14.33	2015	PGL-8514	60340942087	9BDKACMWNVQGPKKH5	False
van	Mercedes-Benz	Sprinter	16	15.36	2016	PYK-5694	29495722497	9BMJ9Q9LBEIA51B6K	False
carro	Volkswagen	Gol	2	11.85	2017	PDA-7848	94625456500	9BWUOK28CCJDOAUAR	False
carro	Toyota	Corolla	4	11.76	2016	PXE-6863	49157550180	9BRAYU62PE0JGH25A	False
ute	Mercedes-Benz	Sprinter	1800	9.95	2017	PQX-7685	51572621902	9BMCEF5Y5A6LZN1VR	False
van	Mercedes-Benz	Sprinter	17	10.32	2015	PYI-4309	82233991486	9BMECFFB5ES27UYAW	False
carro	Honda	Civic	2	10.07	2017	PTV-2905	08031944792	93H5TQZ3BPAIBLPX6	False
carro	Toyota	Corolla	4	13.75	2017	ORO-5694	21327723255	9BRMXCO6SPHHDQ2K3	False
carro	Chevrolet	Prisma	4	11.44	2017	PKA-9782	19288740137	9BGYB6KEA3F828F3T	False
carro	Chevrolet	Spin	4	18.17	2017	PZU-8337	59858285297	9BGILCPE6QWBGIYM7	False
ute	Fiat	Ducato	1800	14.69	2016	PYJ-6130	56481563651	9BDBPL5JYKCOR2K7G	False
carro	Renault	Logan	4	12.41	2017	PCV-8797	76158650383	93YH84KCIF6SKSRVE	False
carro	Toyota	Corolla	4	9.27	2014	OAF-0051	30580631575	9BRNBY1JTTLSYFFH1	False
carro	Volkswagen	Gol	4	8.41	2016	PYG-6664	62222315855	9BW0KA4WL1AXJQ2G7	True
carro	Ford	Ka+	4	12.5	2016	PMQ-6580	67145961171	9BFD77S4FK01S0SQZ	False
van	Fiat	Ducato	13	7.84	2015	ONL-5820	36090400672	9BDD9USCHCLAFJ1IA	True
carro	Chevrolet	Spin	4	9.79	2017	POF-0956	47200657364	9BGMQ6FEO2HCM680T	False
carro	Renault	Logan	4	11.25	2016	OLQ-1051	13948825920	93YWQ00JPO38UAN4G	False
carro	Fiat	Uno	4	10.18	2017	PEH-2857	60252366044	9BDU0KEGD75H6524V	False
carro	Fiat	Uno	4	9.07	2017	OIM-3633	37955963279	9BDNR89GIGL5WGQG3	False
carro	Honda	Civic	4	12.62	2017	POI-4002	66450008427	93HDX0LS50ZKFEZYX	False
carro	Honda	Civic	4	10.95	2017	PQI-6581	03136738271	93HZW1KRS6IYJYXRB	False
carro	Renault	Logan	2	11.1	2017	OFG-2811	38215841217	93Y0FX027MGU45T8N	False
van	Mercedes-Benz	Sprinter	9	12.26	2015	PPK-8669	50122820164	9BM34ZYG60QEE6X0X	False
carro	Fiat	Uno	4	9.26	2017	POX-1104	35626813006	9BDZP53NRX5P4ZZ2D	False
van	Fiat	Ducato	12	13.59	2016	PXM-1298	21300045085	9BDQ5IK49HHU1XMHQ	True
carro	Renault	Logan	4	10.41	2017	PBC-7628	88698884758	93Y6TPNA3RTH4C1VW	False
carro	Honda	Civic	4	12.01	2016	PPG-1967	42681765262	93HC3TFA5BZ4NBHOZ	False
van	Mercedes-Benz	Sprinter	13	9.24	2016	PXQ-4758	19828080918	9BMFMAFMN25MRU8KW	False
carro	Renault	Logan	4	8.56	2017	OKV-8785	55824578588	93YBIC6DN7E31IFLL	False
carro	Chevrolet	Spin	2	8.56	2015	PYO-6968	05566977698	9BG9OCHNJ2EFQ9573	False
van	Fiat	Ducato	11	11.93	2016	PCY-9887	21755248106	9BDN4MI5M11O7ZJP2	False
carro	Toyota	Corolla	4	10.61	2017	PRP-4012	71674273203	9BRC7TKJ2AJWDXBYU	False
ute	Mercedes-Benz	Sprinter	1800	11.69	2015	PQL-1908	10629809301	9BMEG7USIH19K4HLZ	False
ute	Mercedes-Benz	Sprinter	1800	10.82	2017	PPC-2017	07399089436	9BMSK6D0H5FKD1HZO	False
carro	Toyota	Corolla	4	10.65	2015	POC-9624	40047339927	9BRFW7YL5MOQPWJA6	False
carro	Volkswagen	Gol	4	11.95	2017	OUJ-7713	63653485132	9BW3G3G18YXXLKM0U	False
van	Mercedes-Benz	Sprinter	13	9.81	2016	PMM-9235	38992174188	9BMIVD9YHO5H57Z9U	False
carro	Ford	Ka+	4	8.41	2017	PNW-0703	36712566392	9BFZOWXKMW5AYNW6A	False
carro	Honda	Civic	4	10.83	2016	PLL-5634	11027031569	93HXMJEGXU9DXVOTS	False
van	Fiat	Ducato	9	8.43	2015	OMU-6238	03365512505	9BDJ2MWX9KLS6JSV0	False
van	Fiat	Ducato	11	15.93	2015	PJQ-0106	20781120223	9BDOX3LKY9S60X9RJ	True
carro	Chevrolet	Onix	2	8.62	2017	PLQ-6106	27614180201	9BGUPYMFQ1WRDAODI	False
ute	Fiat	Ducato	1800	11.69	2017	PAR-9446	25653107194	9BDWVZMICC7VMMF16	False
carro	Fiat	Uno	4	10.14	2016	PNX-4284	92861545487	9BDUOWZE6NB425OJA	False
van	Fiat	Ducato	9	13.97	2014	PAP-4103	66144009949	9BDOEMVHH36HUZZZT	False
van	Mercedes-Benz	Sprinter	15	13.77	2017	PEC-5848	82909087269	9BM6UPPOOEB5BLGHF	True
carro	Toyota	Corolla	4	13.54	2015	PVJ-7539	03115934283	9BRIBO4H1TRP4LJJZ	False
van	Fiat	Ducato	18	11.37	2016	PDZ-0016	35124186977	9BD2LZHS4U4OFK9I1	False
carro	Volkswagen	Gol	2	15.49	2017	OIS-7901	80837515987	9BWC2ODCJRMFVG5PP	False
carro	Toyota	Corolla	4	12.5	2017	OGM-0879	63587346643	9BRVJLKMMTO4X0ZER	False
van	Fiat	Ducato	8	12.16	2017	PBH-0344	90718791305	9BD8NA120Z1PFOQB2	False
carro	Renault	Logan	4	16.86	2017	PTU-0934	33008897879	93Y34YY0LN3J53UKP	False
van	Fiat	Ducato	11	6.09	2017	PHT-3767	58848746331	9BDCWYIPH02YHFNXG	False
van	Fiat	Ducato	13	10.47	2017	PJB-4899	17774889821	9BDHDYLC5GFDHYV9A	False
carro	Toyota	Corolla	4	12.81	2017	OUW-2431	70446110950	9BRJJNEPGXLHJXGMJ	False
carro	Toyota	Corolla	4	11.12	2016	PHB-8913	03051988958	9BRTNPZ6ZAX3UEJTU	False
carro	Honda	Civic	4	10.49	2017	PYO-1176	31011876744	93HRX7D8SLK14R1E0	False
carro	Volkswagen	Gol	4	15.56	2017	OKO-6599	30198807725	9BW1JC7SQ7KCIZWNA	False
ute	Mercedes-Benz	Sprinter	1800	9.2	2015	PNF-4088	46321311990	9BMZDX5HAQHDYB12E	False
van	Fiat	Ducato	13	9.05	2017	PUJ-7010	33449723450	9BD1KPMLZZU7BO2TU	False
carro	Honda	Civic	4	12.95	2017	ONF-4264	88597388363	93HU0LV043CMJX00T	False
carro	Honda	Civic	4	7.98	2015	PKH-1557	35160855539	93H4CY5VI0SM01RAA	False
carro	Toyota	Corolla	2	7.11	2017	PHI-6463	06367292340	9BRIU91QC91VI2MBH	False
carro	Chevrolet	Prisma	2	11.59	2016	PDO-5333	69445728509	9BGD0QB59WOHXDILA	False
carro	Ford	Ka	4	14.47	2015	OGK-0922	88162805277	9BF10YHRH7WCJSZ0J	False
van	Fiat	Ducato	13	8.79	2017	PCQ-8959	52909699226	9BDAH6G5R2T6IQE8F	False
carro	Volkswagen	Gol	4	16.09	2017	OCT-0140	48122732349	9BWSS9W9GST5QT0AA	False
carro	Volkswagen	Gol	4	10.31	2017	PXH-7073	37178394771	9BWW2EROKMQPX7PJY	False
carro	Honda	Civic	4	10.75	2017	PYF-7996	80004468043	93H5313XC0MUPJ4SY	False
carro	Honda	Civic	4	11.2	2015	PLH-5338	35366964300	93H8HU7OI46CSQJTS	False
carro	Ford	Ka+	4	12.9	2015	PTN-5613	05032680018	9BF3MROMGT64EJ2YK	False
carro	Chevrolet	Prisma	4	9.09	2017	PFG-4849	50079474797	9BGSO01E0GXZTXB53	False
carro	Ford	Ka	2	13.12	2016	PKS-2144	41608355145	9BFDM6YPWGN8ZDC86	False
van	Fiat	Ducato	14	5.21	2017	PXP-7455	10602890865	9BDBFQY2GG7OPVI8V	False
carro	Honda	Civic	4	10.87	2017	PWG-6570	22500756860	93H4HS5R11ZM4QMT1	False
carro	Ford	Ka	2	11.42	2017	PFH-4334	55332054505	9BF2VFANVXMVD3HWU	False
carro	Volkswagen	Gol	4	11.08	2016	PLB-8257	51587491885	9BWV7UXYAIPLMK0SP	False
van	Fiat	Ducato	16	9.92	2016	PNL-6670	00215123954	9BD2E9S5DV3EV4SFE	True
carro	Chevrolet	Onix	4	12.78	2017	POL-2336	03858180898	9BGEHFQTVQW5H4ZPJ	False
carro	Volkswagen	Gol	4	15.27	2017	PUX-6964	34046485116	9BWP0DGKKRVGVTTEA	False
carro	Volkswagen	Gol	4	9.07	2014	PWU-5407	40554448501	9BWQ4RJDGO3B6Y9EW	False
carro	Chevrolet	Spin	4	17.09	2017	OMO-0034	50643037888	9BGDP4IECH4NF5ROE	False
van	Fiat	Ducato	5	10.54	2017	PCR-0783	99917974494	9BD9GMA2TCZ2Q4VGG	False
van	Fiat	Ducato	11	9.91	2016	OFJ-2998	74264292634	9BDZYL370GOUGQTV8	False
carro	Fiat	Uno	4	14.58	2017	PUM-4555	59010686374	9BDE2DOMAXHIDIR7A	False
carro	Volkswagen	Gol	4	11.48	2015	PEJ-8571	84174881180	9BWCFQ9NNWT0J92OC	False
carro	Toyota	Corolla	4	13.0	2017	OWK-6988	67949255212	9BROITFMXQ7KV3986	False
van	Fiat	Ducato	8	10.1	2014	PUT-8028	86394773927	9BDBRCF5DJKROVOUX	False
carro	Honda	Civic	4	9.41	2014	OKX-3784	60079067006	93HES179DT7RKBKX7	False
carro	Honda	Civic	4	10.11	2017	PWZ-8765	72187460712	93HD0K7M3MOT4TPMD	True
carro	Chevrolet	Spin	2	8.76	2016	OXT-2652	98488072722	9BGK5JP9S4IKA0WGG	True
van	Fiat	Ducato	13	9.35	2017	OAB-3883	15592032748	9BDPPZYZLXOGKTBLL	False
carro	Chevrolet	Spin	4	9.1	2017	PBH-8715	46526948025	9BGS4MDJJOW1E0ELH	False
ute	Fiat	Ducato	1800	10.56	2017	PWQ-7445	16590538019	9BDOSW73VVR7HNHJM	False
carro	Toyota	Corolla	4	10.48	2016	PLV-2811	47828061232	9BRY7N5LOZAXPX83I	False
carro	Chevrolet	Spin	4	9.29	2017	ONV-3585	25514887690	9BG83ODZB4CM0E78E	False
ute	Mercedes-Benz	Sprinter	1800	14.64	2017	PTN-8398	25749415249	9BM84EE0R3KXZRZ9F	False
carro	Honda	Civic	2	8.05	2017	PKJ-9719	36337027682	93HCWZ96HR8PIYQWU	False
carro	Toyota	Corolla	2	8.01	2016	PRQ-0848	71236816376	9BRKS1UCGMDBS2TRD	False
carro	Ford	Ka	4	8.68	2017	PTA-0039	50847475510	9BFAD9JTDC3S8PTP6	False
carro	Toyota	Corolla	4	5.38	2017	PBN-9981	43659289464	9BRFWHN98SZTAOIHE	False
carro	Toyota	Corolla	4	6.25	2017	PFO-0850	07366230697	9BR45XBB3L6TQLBKP	True
van	Fiat	Ducato	9	11.37	2015	PGZ-5594	13673117180	9BDMUJT0U28Q4PVIV	False
carro	Volkswagen	Gol	4	9.23	2015	PKP-2951	10757673074	9BW5SYJ8FG1CQN7O4	False
van	Fiat	Ducato	14	9.58	2017	OSF-5860	86856365698	9BD0NA6NZBSLD5IB4	False
van	Fiat	Ducato	14	5.26	2014	PNA-6330	05872947649	9BD0NF3CFUU085L2N	True
van	Fiat	Ducato	17	12.1	2017	PTT-0906	71442726984	9BD1TTDUS7R27PEO6	False
van	Fiat	Ducato	13	9.94	2016	PEM-4444	33170771554	9BD5ZAV745IC6F7X0	False
carro	Volkswagen	Gol	4	7.8	2015	PZV-7424	34522702855	9BW00RM3AXYA8WMCL	False
carro	Volkswagen	Gol	4	8.99	2015	PYI-4658	11104761521	9BW5YDODBDQ30XDNP	False
carro	Ford	Ka+	4	9.66	2017	OPF-7767	71082551934	9BFV3YMH01IPI13RE	False
carro	Honda	Civic	2	11.38	2015	PUL-1437	55400776037	93HORX3JNRY9P6XKI	False
van	Fiat	Ducato	10	11.97	2017	PKU-3030	44153153611	9BDIO9PCC9GHKYCR9	False
carro	Volkswagen	Gol	2	10.62	2016	PPD-4098	47485590105	9BWMW08JBFOKZF155	False
ute	Mercedes-Benz	Sprinter	1800	8.54	2014	PNP-8306	10311452391	9BMQXRZ1Z8K6UKKG6	False
carro	Volkswagen	Gol	4	11.56	2014	OLO-5912	79944004926	9BWVWBE97AN0YY3ZD	False
van	Fiat	Ducato	13	11.9	2015	POD-3531	68466884871	9BDOGNP5YJCKD5H25	True
carro	Fiat	Uno	4	11.57	2016	PNA-7702	30774123652	9BDYD6418H83LUFWG	False
carro	Volkswagen	Gol	4	10.69	2016	PKZ-4582	97010888860	9BWRI0ZMUKOOTBOP0	False
carro	Toyota	Corolla	4	7.81	2017	PSW-4433	52428033340	9BR7DVITAPJWFLIOX	False
van	Fiat	Ducato	15	9.44	2016	PXE-8929	45799556466	9BDGY0Q67KVPX9C1F	False
carro	Renault	Logan	4	6.33	2015	PSW-7008	89403940083	93Y2TXEH5KK2QPA9N	False
carro	Renault	Sandero	4	15.25	2015	PNS-2643	94323716664	93YVFTWGOX2AD7L8M	False
carro	Renault	Logan	2	11.78	2017	POG-6911	28959630568	93YP354XFS7D9T7O1	False
carro	Fiat	Uno	2	8.69	2015	OAD-3364	58049661676	9BD3FGLTPJHJLNEEF	False
van	Mercedes-Benz	Sprinter	14	13.41	2016	PVU-9611	64504068280	9BM28XKJM6DEKHGK1	False
carro	Fiat	Uno	4	9.01	2016	PTS-8960	88058341940	9BDWY3PXBOINX2IFD	False
carro	Fiat	Uno	4	12.72	2015	PTL-7423	42518537513	9BDJ30VHM35XKEQNO	False
carro	Honda	Civic	2	12.5	2015	PXG-9180	99141978358	93HE0MN77E65XDFC2	False
van	Mercedes-Benz	Sprinter	16	12.3	2017	PXI-4519	91025084135	9BM0LW02LAKWW9O4C	False
carro	Chevrolet	Spin	4	11.58	2016	PYF-1420	05459954111	9BGANROHKOBCKPGHR	False
carro	Honda	Civic	4	7.6	2017	OED-3482	94234542010	93H1BM4ZRXIXI1G1Q	True
van	Mercedes-Benz	Sprinter	13	7.57	2015	PKA-6016	30530869487	9BM03DTXC1S02HJC9	False
carro	Honda	Civic	4	10.3	2015	PQY-7785	25811860508	93HM3VA01454N844I	False
carro	Fiat	Uno	4	12.78	2017	OKW-2523	23916905960	9BDB3HKA5GIZKL5XS	False
carro	Chevrolet	Onix	4	12.47	2017	PCC-9075	14466919795	9BGNR09Y16J0YYS0F	False
ute	Mercedes-Benz	Sprinter	1800	10.15	2016	PBT-7797	47971963187	9BMCKD2H7X2YMJX2Y	False
ute	Fiat	Ducato	1800	11.87	2016	ODL-8283	57465066080	9BD6W5IG2866J5ZPO	False
carro	Toyota	Corolla	4	7.12	2017	PNB-9681	80573115751	9BR236KGZ03KCM1CC	False
carro	Honda	Civic	4	10.34	2017	PBU-5482	94680585618	93HFKEY6EIZOCJ1Y3	False
carro	Toyota	Corolla	4	12.19	2016	PIM-5803	63313095419	9BR91EXX3IOV1YCAY	False
carro	Renault	Sandero	4	8.78	2017	PFG-7533	29752332051	93YJUFGH7W3L2ZUI9	False
ute	Mercedes-Benz	Sprinter	1800	9.3	2017	PNB-2772	89422249333	9BM4IUIJ2J978MZ5O	False
carro	Toyota	Corolla	4	10.7	2015	OPJ-0443	59168813256	9BRI6EQ81YEWYJEBC	False
carro	Fiat	Uno	4	12.76	2017	PDP-2655	08126795902	9BDNHC28SU0BCNFQZ	False
van	Fiat	Ducato	16	7.02	2015	OJL-1517	10214557849	9BD3N2BSZXT736RGN	False
ute	Mercedes-Benz	Sprinter	1800	10.3	2017	PPV-6090	83390263272	9BMQ8837CBH54KXNO	False
carro	Ford	Ka	4	11.91	2017	PNZ-8379	76129567996	9BFL4TNKROD34P6NK	False
carro	Chevrolet	Prisma	4	8.68	2014	PUJ-9874	20574448990	9BGEVF4DOE4ZG7FJT	True
ute	Fiat	Ducato	1800	11.22	2017	PHR-7884	92866683083	9BD5NWOVXQH7PU2FR	False
carro	Fiat	Uno	4	7.67	2017	PWN-2381	02702378903	9BD0HPPS01F2PGQJ3	False
van	Fiat	Ducato	14	8.55	2016	PXN-5923	94971886690	9BDDJL3WN3B0BVFJ7	False
van	Fiat	Ducato	14	8.97	2015	PIH-1257	07624573505	9BDWZHWNZ5SV0QU16	False
van	Fiat	Ducato	13	7.19	2015	PGC-8685	80223618928	9BDE8J4QGVVH1268B	True
van	Fiat	Ducato	12	13.5	2015	OWO-4721	84288164309	9BD6O9AJIBGQJ6IFA	False
van	Fiat	Ducato	13	9.86	2016	PJZ-8638	08377621906	9BDU0395IHGA15YU8	False
carro	Chevrolet	Onix	4	14.7	2017	PDB-6366	20053380978	9BGJ86UHN6QYRWMS0	False
carro	Honda	Civic	4	14.23	2017	PLC-9211	95440628003	93HWMJ7XQHWCQH431	False
carro	Volkswagen	Gol	2	9.16	2016	PHG-0791	74431028935	9BWXGG6PW6QEK1D23	True
carro	Toyota	Corolla	4	12.09	2017	PJV-9833	06840859167	9BRRV8ZW725VXOW54	False
carro	Honda	Civic	4	9.63	2014	PHD-0662	33530663620	93HXARTU1JT4QLXPL	False
carro	Fiat	Uno	4	12.91	2015	PXT-6231	89174969222	9BDKHBYQAB53VSHQ7	False
van	Mercedes-Benz	Sprinter	10	13.23	2017	PHS-6574	88968347561	9BMH97I0FSUIJDY4H	True
van	Fiat	Ducato	14	7.5	2017	PIO-0903	36733253712	9BDLW926V4L8FETM8	False
carro	Volkswagen	Gol	4	11.84	2014	OPM-5682	59039381668	9BWZ1SO8GOWMS7TMO	False
carro	Ford	Ka+	4	5.45	2015	PSU-4013	81429955693	9BFZA9HUGU9CSX9ZB	False
carro	Ford	Ka	2	14.47	2017	OYN-2344	52453470719	9BFRTY7737YX6ZZY4	False
carro	Honda	Civic	4	9.37	2015	PLJ-5190	00674168655	93H3NGT183WT4YU5F	False
carro	Ford	Ka+	4	8.89	2015	PFZ-1289	04033805011	9BFXLA55KGTXFXQTU	False
carro	Honda	Civic	4	11.41	2015	PPG-5020	52176810185	93HWFUQIIU7K9OP5Q	False
carro	Fiat	Uno	4	14.79	2017	PUT-4471	33643166878	9BD8XC8KXRNC9F2QR	False
van	Mercedes-Benz	Sprinter	15	11.54	2017	OBK-2631	45131329867	9BM1T46HUFUPVUHEY	False
carro	Fiat	Uno	4	11.15	2016	PQO-1877	31056271502	9BDC8HS45Q63PC6W3	False
carro	Renault	Logan	4	12.7	2016	OKM-3234	12863470794	93YXJ4SGZ1OSTGM8D	True
carro	Honda	Civic	4	13.17	2017	PWD-1484	97142855518	93HYG0YAC1BDMU1UN	False
van	Fiat	Ducato	14	7.86	2015	PKN-4969	79271402578	9BDGWZ9Y6E17KLOX7	False
van	Fiat	Ducato	15	11.49	2017	PNJ-9738	03471120045	9BDRKH7SUUYZZO2C3	False
carro	Chevrolet	Spin	4	9.82	2014	POQ-1485	08050044384	9BGHMMUA7RPRGM25U	False
van	Fiat	Ducato	16	13.7	2017	PZT-4868	25468861627	9BDZVERVREAZMV8BJ	True
carro	Volkswagen	Gol	4	10.13	2017	PXM-1340	02683971766	9BWF0874OXWBMD0AV	False
carro	Honda	Civic	4	13.08	2017	PGD-7456	38560699640	93HQQ550QGJZJPQRG	False
carro	Renault	Sandero	4	10.6	2017	PRC-4869	03968090547	93YAYOJ7X335Z0CNI	False
carro	Toyota	Corolla	4	13.09	2015	PIO-8279	35772088068	9BRAF1YS14FKHRNZT	False
carro	Fiat	Uno	4	12.79	2015	PWK-2166	65610368761	9BD1E7EC9LCLMWS19	False
ute	Mercedes-Benz	Sprinter	1800	12.2	2015	PQR-7549	16105814302	9BMVUJKF8UTGWZGRN	False
van	Fiat	Ducato	16	13.73	2014	OZR-4121	43708061178	9BDLOPKL8LSCAAFRC	False
van	Mercedes-Benz	Sprinter	14	11.06	2015	PYB-7752	79543035444	9BMBKDLSP5AJ8PM62	False
van	Fiat	Ducato	16	11.0	2017	PQX-0377	97990638878	9BDAFQT7W6PW306O9	False
van	Mercedes-Benz	Sprinter	7	11.79	2015	PVP-3651	88949594818	9BMBMZBTBVFEBJCNZ	True
carro	Renault	Logan	4	7.87	2017	PBR-3730	17134281928	93YVIY5U2LZS9PNUH	False
carro	Chevrolet	Spin	4	13.4	2014	ORT-3857	05308592507	9BGEXEOZZIB6L6H9V	False
van	Fiat	Ducato	13	10.89	2017	PCR-0591	55968484201	9BDP8MF229EDU3H4X	False
van	Mercedes-Benz	Sprinter	12	10.62	2015	PHR-9565	09369093739	9BMS2HA21EZN26USY	False
carro	Renault	Sandero	4	14.13	2017	OAB-9990	68344460128	93Y9NDGE31DSYHZ9M	False
van	Fiat	Ducato	14	12.61	2017	OON-8718	74316087288	9BDQH13LF50CE17AS	False
ute	Fiat	Ducato	1800	13.95	2014	PTO-8584	40456551995	9BDPLHIKVGYP57UAA	False
carro	Fiat	Uno	4	6.56	2017	PWD-7902	97504962655	9BDZVC8YZKG4KIA59	False
carro	Ford	Ka+	4	13.55	2016	PFK-6621	98571932797	9BFAOJV7DXCFUNFU2	False
carro	Ford	Ka	4	11.52	2016	PCC-5424	05380945715	9BFG324CJQ2LOVAY4	False
van	Fiat	Ducato	10	7.82	2017	PII-6322	54803032219	9BDYPGNI6CQT5JVTY	False
carro	Fiat	Uno	4	11.97	2015	PQO-1892	63468711039	9BDTF256SWJ7WI25X	False
ute	Fiat	Ducato	1800	7.69	2015	PYK-1481	69114344379	9BDNI82GL6QG9GBYU	True
carro	Renault	Sandero	2	13.12	2014	PDF-5849	64297665126	93YGCTJ7AV8SD7EYD	False
carro	Ford	Ka	4	10.21	2017	PVW-3982	11999248111	9BFOJX217L8QHL69P	False
carro	Chevrolet	Spin	4	9.65	2017	PNX-1073	26747210675	9BGJ5DJ5WTB69K617	False
carro	Renault	Logan	4	10.15	2017	OWA-4057	70432322199	93YN1R0BLN352NVHR	False
carro	Honda	Civic	2	8.99	2015	PPU-8051	01784558667	93HVMHK78ZC2D9RV7	False
carro	Volkswagen	Gol	4	10.48	2017	PNJ-4866	69957032111	9BWXVW4R7X5RZ5A86	False
carro	Renault	Logan	4	6.8	2015	PJY-0156	80756630214	93Y5VS4HWREZOIEPI	False
carro	Fiat	Uno	4	13.06	2015	PRN-8140	92407797852	9BD6N0GU5B9VEXKJY	False
van	Fiat	Ducato	14	10.31	2016	PWS-3875	58944135865	9BDPC6Q5B7IVB8S81	False
carro	Renault	Sandero	4	11.06	2014	OFN-2159	50044429800	93YHB9ECYXCWUV438	False
van	Fiat	Ducato	12	9.7	2016	PAK-8382	10838835169	9BDDHBWCFH8FID1DC	False
carro	Renault	Sandero	2	13.11	2015	PIY-9226	01019348259	93YO5MO7FG12S1PFQ	False
carro	Ford	Ka+	4	11.82	2016	PBL-5757	03472134199	9BFE4QJVPO29XID64	False
carro	Renault	Sandero	4	11.38	2017	PMA-3432	38155003643	93YUKUJNAUP78764O	False
van	Mercedes-Benz	Sprinter	8	11.32	2017	OEI-5533	98146014063	9BM44LX920L44TJVE	False
van	Fiat	Ducato	8	13.22	2016	PGS-6942	43338299660	9BD397PC6IIRMAMQW	False
van	Mercedes-Benz	Sprinter	17	10.21	2014	PZS-3612	25565693585	9BMY7GU7Z0MA4SSI7	False
van	Fiat	Ducato	8	8.88	2017	OZN-8162	47466531926	9BDX184HN22UUXK4H	False
carro	Toyota	Corolla	4	10.27	2017	PLC-2068	82023939831	9BR3VHKZSF9N7EWLA	False
van	Fiat	Ducato	7	9.0	2017	OGG-7949	03737188321	9BDALZXQE7KU3Y5G2	False
carro	Toyota	Corolla	4	7.75	2017	OFF-3872	85360043664	9BR65CIOUD6RS8BGX	False
carro	Chevrolet	Prisma	4	13.65	2017	PZI-1208	50335573830	9BGNZ6SRUCDBI5RS4	False
carro	Fiat	Uno	4	11.23	2016	PFZ-3967	46052018484	9BDMHDYWP719JAGVY	False
van	Fiat	Ducato	9	9.38	2017	PXO-8391	73869095661	9BDCDO8J0YE8PFW6Z	False
carro	Fiat	Uno	4	10.32	2017	OQC-5446	83561598242	9BDI5FOD3ZCY4HRO5	False
carro	Toyota	Corolla	4	12.83	2017	PIF-1852	51261623657	9BRD6S3S2HECNJ4RN	False
carro	Volkswagen	Gol	4	12.14	2017	POP-4019	25669532456	9BW5OIRHY2PUNO7XL	False
van	Mercedes-Benz	Sprinter	7	13.27	2017	PEZ-2565	79890741378	9BMC8C4GFMBSX4VPK	False
van	Mercedes-Benz	Sprinter	4	13.02	2017	PHM-0607	63963897029	9BMBM5DK4H1ZNY63W	False
carro	Chevrolet	Onix	4	13.43	2014	PTS-5683	98099713861	9BGQVM06YAC0UJD1P	True
van	Fiat	Ducato	6	11.16	2014	PVI-2783	08338340103	9BD7LR0NKMXAL51X1	False
van	Fiat	Ducato	11	8.8	2017	PDF-6432	12777493495	9BDC7292MHCC4M1RO	False
carro	Toyota	Corolla	4	10.71	2017	PUW-0270	20524781353	9BR5TRSKC6POK3DV7	False
carro	Toyota	Corolla	4	12.43	2015	PKD-1958	26705204028	9BRLH38T8LREDD8HF	False
carro	Ford	Ka	4	13.19	2017	PXH-6033	16053464821	9BFNKCYZDUP9FF8M3	False
carro	Honda	Civic	4	13.62	2017	PBN-8657	09177602311	93H2B9CM26HF1BSKL	False
carro	Honda	Civic	4	11.34	2016	PZJ-6810	51459672089	93H97JCZ2UYMFTC6N	False
carro	Renault	Sandero	2	10.51	2016	PLM-2986	89406005994	93YBSNZTUYLWI05S4	False
van	Mercedes-Benz	Sprinter	14	10.73	2017	PEH-8186	38830743618	9BM9M80KF0983R48C	False
carro	Renault	Logan	4	11.34	2015	PCB-2804	85810111814	93YYX9VHR7IES2AHQ	True
carro	Chevrolet	Spin	4	9.73	2016	PYW-4311	04180278522	9BGNB04DMKGTFXDH7	False
van	Fiat	Ducato	9	9.97	2017	PVF-8422	41480794348	9BDJ37ZH6R9OOTX87	False
carro	Volkswagen	Gol	2	8.02	2016	PTH-3593	74548732282	9BWW4OMHBOH1FYLXP	False
carro	Toyota	Corolla	4	8.41	2017	PNE-8024	45824793705	9BRJEO6TVTBJ5FLOQ	False
carro	Volkswagen	Gol	4	6.98	2016	PWM-0274	32808744982	9BWE87TUKPJDL5SU4	False
carro	Ford	Ka	2	10.02	2017	PCX-4595	90704618829	9BFDFR3A39UP42XGL	False
ute	Fiat	Ducato	1800	14.98	2017	PMN-5960	19541687044	9BDKBIB02V6LL8DWU	False
carro	Honda	Civic	4	11.26	2017	PST-4910	97435918600	93H0Z7T16D8EL1RBB	False
carro	Honda	Civic	4	11.09	2015	PKZ-7837	95786108673	93HR6DREA2U3GZXKE	False
carro	Chevrolet	Onix	4	12.09	2014	PCB-9314	96701088847	9BGYZUANU0GG5BB3Q	False
van	Fiat	Ducato	15	7.4	2017	PVP-3447	74360651537	9BD67MXCI5AUBJ25T	False
ute	Mercedes-Benz	Sprinter	1800	10.75	2017	OIJ-9352	99087605950	9BMVI1358CRNPFOKW	False
carro	Ford	Ka	4	12.61	2014	PVN-8443	77286413605	9BFPGGZCYUJZTL0JB	False
carro	Honda	Civic	4	11.14	2016	PNZ-5339	96748611742	93HXVI6JXSCH85B4A	False
carro	Chevrolet	Onix	2	13.38	2017	PIK-2140	67792886290	9BG7TSNSXES090BUH	False
